			Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV	UV	Hi	Heat	Cool	In	In	In	In	In	In Air	Temp	Hum		Leaf	Leaf	Leaf	Leaf	Wind	Wind	ISS	Arc.
	Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar	Rain	Rate	Rad.	Energy	Rad.	Index	Dose	UV	D-D	D-D	Temp	Hum	Dew	Heat	EMC	Density	2nd	2nd	ET	Wet 1	Wet 2	Temp 1	Temp 2	Samp	Tx	Recept	Int.
	--------	--------	-------	-------	------	-------	------	------	-------	------	-------	-----	-------	-------	-------	-------	--------	------	------	-------	--------	---------	------	-------	------	--------	--------	------	-------	-------	-------	------	---------	-------	-------	-------	-------	-------	--------	--------	------	------	--------	--------
82	23/09/2012	1:40p	38.1	38.4	38.1	18	9.7	4.9	WNW	2.95	7.2	WNW	38.1	36.7	36.7	40.9	1011.7	0	0	884	12.67	914	6.1	0.44	6.5	0	0.137	28.9	26	7.5	27.6	5.37	1.1555	---	---	0	---	---	---	---	229	1	100	10
83	23/09/2012	1:50p	37.4	38.1	37.4	19	9.9	5.4	WNW	3.22	8.5	NW	37.4	35.9	35.9	38.4	1011.6	0	0	332	4.76	868	5	0.36	6.1	0	0.132	29	27	8.1	27.8	5.55	1.1545	---	---	0	---	---	---	---	224	1	98.2	10
84	23/09/2012	2:00p	37.5	37.5	37	17	8.3	5.8	WNW	3.49	8.5	NW	37.5	35.8	35.9	40.3	1011.5	0	0	933	13.37	946	5.9	0.42	6.2	0	0.133	29.2	27	8.3	28	5.55	1.1534	---	---	0.84	---	---	---	---	226	1	99.1	10
85	23/09/2012	2:10p	37.4	37.6	37.3	17	8.3	6.7	WNW	4.02	9.4	WNW	37.4	35.8	35.9	40.1	1011.4	0	0	914	13.1	940	5.6	0.4	6	0	0.133	28.9	27	8	27.7	5.55	1.1548	---	---	0	---	---	---	---	230	1	100	10
86	23/09/2012	2:20p	37.3	37.5	37.3	16	7.3	6.7	WNW	4.02	9.8	WNW	37.3	35.5	35.6	39.9	1011.4	0	0	758	10.87	872	5.1	0.36	5.8	0	0.132	28.9	28	8.5	27.8	5.67	1.1543	---	---	0	---	---	---	---	233	1	100	10
87	23/09/2012	2:30p	36.9	37.3	36.8	17	7.8	6.7	WNW	4.02	9.8	NW	36.9	35.1	35.2	39.2	1011.2	0	0	611	8.76	779	4.5	0.32	5.2	0	0.129	29.1	28	8.7	27.9	5.66	1.1531	---	---	0	---	---	---	---	230	1	100	10
88	23/09/2012	2:40p	37.2	37.3	36.9	16	7.2	6.3	WNW	3.76	8.9	NW	37.2	35.4	35.4	39.7	1011.2	0	0	753	10.79	759	5	0.36	5.1	0	0.131	28.8	28	8.5	27.6	5.67	1.1546	---	---	0	---	---	---	---	233	1	100	10
89	23/09/2012	2:50p	37.1	37.2	37	17	8	7.2	WNW	4.29	9.8	WNW	37.1	35.4	35.6	39.7	1011.2	0	0	718	10.29	737	4.7	0.34	4.9	0	0.13	28.7	28	8.4	27.5	5.68	1.1551	---	---	0	---	---	---	---	229	1	100	10
90	23/09/2012	3:00p	36.7	37.1	36.7	20	10.1	6.7	WNW	4.02	9.4	NW	36.7	35.2	35.2	39.5	1011.1	0	0	693	9.93	705	4.4	0.31	4.5	0	0.127	29	28	8.6	27.9	5.67	1.1535	---	---	0.91	---	---	---	---	231	1	100	10
91	23/09/2012	3:10p	36.2	36.7	36.2	22	11.1	7.6	WNW	4.56	9.8	WNW	36.2	35.1	35.1	39.2	1011.1	0	0	657	9.42	677	4	0.29	4.2	0	0.124	28.8	29	9	27.7	5.85	1.1541	---	---	0	---	---	---	---	232	1	100	10
92	23/09/2012	3:20p	35.8	36.2	35.8	23	11.4	7.2	WNW	4.29	9.4	WNW	35.8	34.8	34.8	39	1011	0	0	632	9.06	642	3.7	0.26	3.8	0	0.121	28.6	30	9.3	27.5	6.05	1.1545	---	---	0	---	---	---	---	232	1	100	10
93	23/09/2012	3:30p	35.8	35.8	35.7	23	11.4	7.2	WNW	4.29	9.8	W	35.8	34.8	34.8	39	1011.1	0	0	604	8.66	615	3.4	0.24	3.5	0	0.121	28.9	30	9.6	27.9	6.05	1.153	---	---	0	---	---	---	---	230	1	100	10
94	23/09/2012	3:40p	35.6	35.8	35.6	23	11.3	7.2	WNW	4.29	9.4	WNW	35.6	34.6	34.6	38.7	1011	0	0	578	8.29	591	3.1	0.22	3.2	0	0.12	28.6	30	9.3	27.5	6.05	1.1545	---	---	0	---	---	---	---	230	1	100	10
95	23/09/2012	3:50p	35.4	35.6	35.4	21	9.8	7.2	WNW	4.29	9.4	WNW	35.4	34	34	38	1011	0	0	546	7.83	564	2.8	0.2	2.9	0	0.119	28.3	32	10.1	27.4	6.29	1.1546	---	---	0	---	---	---	---	230	1	100	10
96	23/09/2012	4:00p	35.4	35.4	35.4	21	9.7	7.2	WNW	4.29	9.4	WNW	35.4	33.9	33.9	37.8	1011	0	0	517	7.41	534	2.5	0.18	2.7	0	0.118	28.7	31	9.9	27.8	6.15	1.1535	---	---	0.81	---	---	---	---	227	1	99.6	10
97	23/09/2012	4:10p	35.2	35.5	35.2	21	9.6	7.6	WNW	4.56	9.4	WNW	35.2	33.7	33.7	37.4	1011	0	0	472	6.77	497	2.2	0.16	2.3	0	0.117	28.3	31	9.6	27.3	6.15	1.155	---	---	0	---	---	---	---	231	1	100	10
98	23/09/2012	4:20p	34.9	35.2	34.9	23	10.7	7.6	WNW	4.56	9.4	WNW	34.9	33.7	33.7	37.3	1010.9	0	0	448	6.42	455	2	0.14	2.1	0	0.115	28.2	32	10	27.3	6.29	1.155	---	---	0	---	---	---	---	234	1	100	10
99	23/09/2012	4:30p	34.8	34.9	34.8	23	10.6	7.2	WNW	4.29	9.8	WNW	34.8	33.6	33.6	37.3	1011	0	0	424	6.08	436	1.7	0.12	1.8	0	0.114	28.6	31	9.8	27.6	6.15	1.154	---	---	0	---	---	---	---	228	1	100	10
100	23/09/2012	4:40p	34.6	34.8	34.6	22	9.7	7.6	WNW	4.56	9.8	WNW	34.6	33.1	33.1	36.4	1011	0	0	382	5.48	401	1.5	0.11	1.6	0	0.113	28.2	31	9.5	27.2	6.15	1.1556	---	---	0	---	---	---	---	232	1	100	10
101	23/09/2012	4:50p	34.8	34.8	34.5	20	8.5	6.7	WNW	4.02	9.8	WNW	34.8	33	33	36.3	1011	0	0	346	4.96	364	1.3	0.09	1.4	0	0.114	28.1	32	9.9	27.2	6.3	1.1557	---	---	0	---	---	---	---	229	1	100	10
102	23/09/2012	5:00p	34.6	34.8	34.6	22	9.8	5.8	WNW	3.49	8.5	WNW	34.6	33.2	33.2	36.1	1011.2	0	0	264	3.78	330	1.1	0.08	1.2	0	0.113	28.4	31	9.7	27.4	6.15	1.1547	---	---	0.66	---	---	---	---	230	1	100	10
103	23/09/2012	5:10p	33.8	34.6	33.8	25	11.1	6.7	WNW	4.02	9.4	WNW	33.8	32.7	32.7	35.4	1011.1	0	0	252	3.61	276	0.9	0.06	1	0	0.108	28.1	31	9.4	27.1	6.15	1.1562	---	---	0	---	---	---	---	226	1	99.1	10
104	23/09/2012	5:20p	33	33.8	33	29	12.6	7.6	WNW	4.56	9.8	WNW	32.7	32.4	32.2	34.8	1011.1	0	0	246	3.53	260	0.8	0.06	0.9	0	0.102	28	31	9.3	27	6.15	1.1567	---	---	0	---	---	---	---	223	1	97.8	10
105	23/09/2012	5:30p	32.6	33	32.6	30	12.7	7.2	WNW	4.29	9.4	WNW	32.2	32.1	31.7	34	1011.2	0	0	203	2.91	223	0.7	0.05	0.7	0	0.099	28.3	32	10.1	27.4	6.29	1.1549	---	---	0	---	---	---	---	227	1	99.6	10
106	23/09/2012	5:40p	32.4	32.6	32.4	31	13.1	5.8	WNW	3.49	8	WNW	32.2	31.9	31.8	33.8	1011.2	0	0	162	2.32	179	0.5	0.04	0.6	0	0.098	27.9	33	10.1	27.1	6.46	1.1565	---	---	0	---	---	---	---	225	1	98.7	10
107	23/09/2012	5:50p	32.1	32.4	32.1	32	13.3	5.4	WNW	3.22	7.6	NW	31.9	31.7	31.5	32.9	1011.3	0	0	120	1.72	141	0.2	0.01	0.5	0	0.096	27.8	33	10.1	27	6.47	1.1569	---	---	0	---	---	---	---	222	1	97.4	10
108	23/09/2012	6:00p	31.7	32.1	31.7	32	13	5.4	WNW	3.22	7.6	WNW	31.4	30.9	30.7	30.9	1011.3	0	0	51	0.73	98	0	0	0	0	0.093	27.9	33	10.1	27.1	6.46	1.1566	---	---	0.41	---	---	---	---	225	1	98.7	10
109	23/09/2012	6:10p	31.5	31.7	31.5	32	12.8	5.4	WNW	3.22	6.7	WNW	31.2	30.6	30.3	30	1011.4	0	0	27	0.39	30	0	0	0	0	0.091	27.5	34	10.2	26.7	6.59	1.1581	---	---	0	---	---	---	---	225	1	98.7	10
110	23/09/2012	6:20p	31.3	31.4	31.3	32	12.7	4.5	WNW	2.68	6.3	WNW	31.2	30.4	30.2	29.2	1011.4	0	0	22	0.32	25	0	0	0	0	0.09	27.5	34	10.2	26.7	6.59	1.1581	---	---	0	---	---	---	---	225	1	98.7	10
111	23/09/2012	6:30p	31.1	31.3	31.1	32	12.5	4	WNW	2.41	5.8	WNW	30.9	30.1	29.9	28.8	1011.5	0	0	15	0.22	18	0	0	0	0	0.089	27.7	34	10.4	26.9	6.57	1.1572	---	---	0	---	---	---	---	226	1	99.1	10
112	23/09/2012	6:40p	30.8	31.1	30.8	33	12.7	4	WNW	2.41	4.9	WNW	30.7	30.1	29.9	28.7	1011.7	0	0	8	0.11	12	0	0	0	0	0.087	27.5	33	9.8	26.6	6.49	1.1588	---	---	0	---	---	---	---	229	1	100	10
113	23/09/2012	6:50p	30.3	30.8	30.3	33	12.2	2.7	WNW	1.61	4.5	WNW	30.3	29.6	29.6	28.2	1011.9	0	0	1	0.01	5	0	0	0	0	0.083	27.2	34	9.9	26.3	6.61	1.1603	---	---	0	---	---	---	---	229	1	100	10
114	23/09/2012	7:00p	29.8	30.3	29.8	34	12.3	1.8	NNE	1.07	3.6	N	29.8	29.3	29.3	27.9	1012	0	0	0	0	0	0	0	0	0	0.08	27.3	33	9.6	26.3	6.51	1.1603	---	---	0.18	---	---	---	---	228	1	100	10
115	23/09/2012	7:10p	29.7	29.8	29.6	33	11.7	2.7	WNW	1.61	5.4	WNW	29.7	29	29	27.6	1012	0	0	0	0	0	0	0	0	0	0.079	27.5	33	9.8	26.6	6.49	1.1592	---	---	0	---	---	---	---	228	1	100	10
116	23/09/2012	7:20p	29.9	29.9	29.7	32	11.5	4.5	WNW	2.68	5.8	WNW	29.5	29.2	28.8	27.5	1012.2	0	0	0	0	0	0	0	0	0	0.081	27.6	32	9.4	26.7	6.32	1.1593	---	---	0	---	---	---	---	230	1	100	10
117	23/09/2012	7:30p	29.7	30	29.7	32	11.2	2.2	WNW	1.34	4.5	WNW	29.7	28.9	28.9	27.4	1012.3	0	0	0	0	0	0	0	0	0	0.079	27.2	32	9	26.2	6.33	1.1616	---	---	0	---	---	---	---	227	1	99.6	10
118	23/09/2012	7:40p	29.3	29.6	29.2	33	11.3	3.1	WNW	1.88	5.8	WNW	29.3	28.6	28.6	27.2	1012.4	0	0	0	0	0	0	0	0	0	0.076	27.2	33	9.5	26.2	6.51	1.1612	---	---	0	---	---	---	---	229	1	100	10
119	23/09/2012	7:50p	28.8	29.3	28.8	35	11.8	2.7	WNW	1.61	5.4	WNW	28.8	28.4	28.4	27.1	1012.6	0	0	0	0	0	0	0	0	0	0.073	27.3	32	9.1	26.3	6.33	1.1614	---	---	0	---	---	---	---	229	1	100	10
120	23/09/2012	8:00p	28.4	28.8	28.4	35	11.5	1.8	NNW	1.07	3.6	N	28.4	27.8	27.8	26.4	1012.8	0	0	0	0	0	0	0	0	0	0.07	27.4	32	9.2	26.4	6.32	1.1611	---	---	0.15	---	---	---	---	227	1	99.6	10
121	23/09/2012	8:10p	28.2	28.4	28.2	35	11.3	1.8	N	1.07	3.6	NNW	28.2	27.5	27.5	26.1	1012.9	0	0	0	0	0	0	0	0	0	0.068	27.5	31	8.9	26.5	6.15	1.1611	---	---	0	---	---	---	---	229	1	100	10
122	23/09/2012	8:20p	27.9	28.2	27.9	34	10.6	1.3	NNE	0.8	2.7	NNW	27.9	27.1	27.1	25.7	1013	0	0	0	0	0	0	0	0	0	0.066	27.3	31	8.7	26.2	6.15	1.1622	---	---	0	---	---	---	---	226	1	99.1	10
123	23/09/2012	8:30p	27.5	27.9	27.5	36	11.1	1.8	NE	1.07	3.6	NE	27.5	26.8	26.8	25.3	1013.2	0	0	0	0	0	0	0	0	0	0.064	27.1	31	8.5	26	6.15	1.1635	---	---	0	---	---	---	---	229	1	100	10
124	23/09/2012	8:40p	27.2	27.5	27.2	36	10.8	2.7	NE	1.61	4	ENE	27.2	26.4	26.4	25	1013.2	0	0	0	0	0	0	0	0	0	0.062	27.2	31	8.6	26.1	6.15	1.163	---	---	0	---	---	---	---	227	1	99.6	10
125	23/09/2012	8:50p	27	27.2	27	36	10.7	3.1	NNE	1.88	5.4	NNE	27	26.2	26.2	24.8	1013.4	0	0	0	0	0	0	0	0	0	0.06	27.2	31	8.6	26.1	6.15	1.1632	---	---	0	---	---	---	---	227	1	99.6	10
126	23/09/2012	9:00p	26.7	27	26.7	37	10.8	3.6	NE	2.15	5.8	NE	26.5	26	25.8	24.4	1013.5	0	0	0	0	0	0	0	0	0	0.058	27.3	30	8.2	26.2	6.05	1.1632	---	---	0.13	---	---	---	---	226	1	99.1	10
127	23/09/2012	9:10p	26.5	26.7	26.5	39	11.4	3.6	NNE	2.15	5.4	N	26.3	25.9	25.7	24.3	1013.5	0	0	0	0	0	0	0	0	0	0.057	27.4	30	8.3	26.3	6.05	1.1627	---	---	0	---	---	---	---	224	1	98.2	10
128	23/09/2012	9:20p	26.1	26.5	26.1	39	11.1	3.6	NNE	2.15	4.9	NNE	25.9	25.6	25.4	24	1013.5	0	0	0	0	0	0	0	0	0	0.054	27.4	30	8.3	26.3	6.05	1.1627	---	---	0	---	---	---	---	223	1	97.8	10
129	23/09/2012	9:30p	25.8	26.1	25.8	41	11.5	3.1	NNE	1.88	4.9	NNE	25.8	25.3	25.3	23.9	1013.5	0	0	0	0	0	0	0	0	0	0.052	27.4	30	8.3	26.3	6.05	1.1628	---	---	0	---	---	---	---	225	1	98.7	10
130	23/09/2012	9:40p	25.6	25.8	25.6	41	11.4	3.1	N	1.88	4.5	NNE	25.6	25.2	25.2	23.7	1013.5	0	0	0	0	0	0	0	0	0	0.051	27.4	30	8.3	26.3	6.05	1.1627	---	---	0	---	---	---	---	226	1	99.1	10
131	23/09/2012	9:50p	25.2	25.6	25.2	43	11.7	2.2	N	1.34	3.6	NNW	25.2	24.9	24.9	23.5	1013.5	0	0	0	0	0	0	0	0	0	0.048	27.4	30	8.3	26.3	6.05	1.1628	---	---	0	---	---	---	---	225	1	98.7	10
132	23/09/2012	10:00p	25.2	25.3	25.2	43	11.7	3.1	NNW	1.88	4.5	NNW	25.2	24.8	24.8	23.4	1013.6	0	0	0	0	0	0	0	0	0	0.047	27.4	30	8.3	26.3	6.05	1.1628	---	---	0.13	---	---	---	---	224	1	98.2	10
133	23/09/2012	10:10p	24.9	25.2	24.9	45	12.2	2.7	NNW	1.61	3.6	NNW	24.9	24.7	24.7	23.3	1013.6	0	0	0	0	0	0	0	0	0	0.046	27.4	30	8.3	26.3	6.05	1.1629	---	---	0	---	---	---	---	225	1	98.7	10
134	23/09/2012	10:20p	24.7	24.9	24.7	46	12.3	3.1	NNW	1.88	4.5	NNW	24.7	24.5	24.5	23.1	1013.6	0	0	0	0	0	0	0	0	0	0.044	27.3	30	8.2	26.2	6.05	1.1634	---	---	0	---	---	---	---	225	1	98.7	10
135	23/09/2012	10:30p	24.4	24.7	24.4	48	12.7	3.1	NNW	1.88	4.5	NNW	24.4	24.3	24.3	22.9	1013.5	0	0	0	0	0	0	0	0	0	0.042	27.3	30	8.2	26.2	6.05	1.1633	---	---	0	---	---	---	---	225	1	98.7	10
136	23/09/2012	10:40p	24	24.4	24	49	12.6	2.7	NW	1.61	4	NNW	24	24	24	22.6	1013.5	0	0	0	0	0	0	0	0	0	0.039	27.3	31	8.7	26.2	6.15	1.1628	---	---	0	---	---	---	---	223	1	97.8	10
137	23/09/2012	10:50p	23.7	24	23.6	51	12.9	2.2	NW	1.34	3.1	NNW	23.7	23.7	23.7	22.3	1013.5	0	0	0	0	0	0	0	0	0	0.037	27.3	31	8.7	26.2	6.15	1.1629	---	---	0	---	---	---	---	220	1	96.5	10
138	23/09/2012	11:00p	23.4	23.6	23.4	51	12.7	2.2	NW	1.34	3.1	NW	23.4	23.4	23.4	22	1013.5	0	0	0	0	0	0	0	0	0	0.035	27.2	31	8.6	26.1	6.15	1.1634	---	---	0.1	---	---	---	---	223	1	97.8	10
139	23/09/2012	11:10p	23.5	23.6	23.4	51	12.8	1.8	NW	1.07	3.1	NNW	23.5	23.4	23.4	22.1	1013.5	0	0	0	0	0	0	0	0	0	0.036	27.2	32	9	26.2	6.33	1.1629	---	---	0	---	---	---	---	224	1	98.2	10
140	23/09/2012	11:20p	23.6	23.6	23.5	51	12.8	1.8	NW	1.07	2.7	NW	23.6	23.6	23.6	22.2	1013.7	0	0	0	0	0	0	0	0	0	0.036	27.2	32	9	26.2	6.33	1.1631	---	---	0	---	---	---	---	225	1	98.7	10
141	23/09/2012	11:30p	23.4	23.6	23.4	51	12.7	1.8	NNW	1.07	2.2	NW	23.4	23.4	23.4	22	1013.8	0	0	0	0	0	0	0	0	0	0.035	27.2	32	9	26.2	6.33	1.1632	---	---	0	---	---	---	---	222	1	97.4	10
142	23/09/2012	11:40p	23.3	23.4	23.2	48	11.6	1.3	NE	0.8	1.8	N	23.3	23.1	23.1	21.6	1013.7	0	0	0	0	0	0	0	0	0	0.034	27.1	32	8.9	26.1	6.34	1.1637	---	---	0	---	---	---	---	220	1	96.5	10
143	23/09/2012	11:50p	23.5	23.5	23.3	47	11.5	1.8	NE	1.07	2.2	NE	23.5	23.3	23.3	21.8	1013.7	0	0	0	0	0	0	0	0	0	0.036	27.1	32	8.9	26.1	6.34	1.1637	---	---	0	---	---	---	---	221	1	96.9	10
	24/09/2012	12:00a	23.7	23.7	23.5	48	12	1.8	NNW	1.07	2.2	NNW	23.7	23.6	23.6	22.2	1013.7	0	0	0	0	0	0	0	0	0	0.037	27.1	32	8.9	26.1	6.34	1.1636	---	---	0.08	---	---	---	---	225	1	98.7	10
	24/09/2012	12:10a	23.3	23.7	23.3	48	11.6	1.3	NW	0.8	1.8	NW	23.3	23.1	23.1	21.6	1013.7	0	0	0	0	0	0	0	0	0	0.034	27	32	8.9	26	6.34	1.1639	---	---	0	---	---	---	---	223	1	97.8	10
	24/09/2012	12:20a	23.2	23.3	23.2	48	11.5	1.3	NW	0.8	1.8	NW	23.2	22.9	22.9	21.4	1013.7	0	0	0	0	0	0	0	0	0	0.034	27	32	8.9	26	6.34	1.1639	---	---	0	---	---	---	---	223	1	97.8	10
	24/09/2012	12:30a	22.9	23.2	22.8	48	11.3	1.3	NW	0.8	2.2	NW	22.9	22.6	22.6	21.2	1013.7	0	0	0	0	0	0	0	0	0	0.032	26.9	32	8.8	25.9	6.34	1.1644	---	---	0	---	---	---	---	220	1	96.5	10
	24/09/2012	12:40a	23.6	23.6	22.9	47	11.6	0.4	NW	0.27	1.3	NW	23.6	23.4	23.4	21.9	1013.6	0	0	0	0	0	0	0	0	0	0.036	26.9	32	8.8	25.9	6.34	1.1643	---	---	0	---	---	---	---	219	1	96.1	10
	24/09/2012	12:50a	23.3	23.7	23.3	46	11.1	0	NW	0	1.3	NW	23.3	23.1	23.1	21.6	1013.7	0	0	0	0	0	0	0	0	0	0.035	26.8	31	8.2	25.7	6.15	1.1653	---	---	0	---	---	---	---	220	1	96.5	10
	24/09/2012	1:00a	22.9	23.3	22.9	48	11.3	1.3	NW	0.8	2.2	NW	22.9	22.6	22.6	21.2	1013.7	0	0	0	0	0	0	0	0	0	0.032	26.8	31	8.2	25.7	6.15	1.1653	---	---	0.08	---	---	---	---	220	1	96.5	10
	24/09/2012	1:10a	23.2	23.2	22.9	46	11	0.9	NNW	0.54	1.8	NW	23.2	22.9	22.9	21.4	1013.6	0	0	0	0	0	0	0	0	0	0.034	26.8	31	8.2	25.7	6.15	1.1653	---	---	0	---	---	---	---	225	1	98.7	10
	24/09/2012	1:20a	22.8	23.2	22.8	47	10.9	0.9	NNW	0.54	1.8	NNW	22.8	22.4	22.4	21	1013.7	0	0	0	0	0	0	0	0	0	0.031	26.7	31	8.1	25.6	6.15	1.1659	---	---	0	---	---	---	---	225	1	98.7	10
	24/09/2012	1:30a	22.7	23.1	22.7	46	10.5	0.4	NNW	0.27	1.3	NNW	22.7	22.2	22.2	20.7	1013.7	0	0	0	0	0	0	0	0	0	0.03	26.7	31	8.1	25.6	6.15	1.1659	---	---	0	---	---	---	---	224	1	98.2	10
	24/09/2012	1:40a	22.6	22.7	22.5	48	11	0	NNW	0	0.9	NNW	22.6	22.1	22.1	20.7	1013.8	0	0	0	0	0	0	0	0	0	0.029	26.6	31	8	25.5	6.15	1.1665	---	---	0	---	---	---	---	226	1	99.1	10
	24/09/2012	1:50a	22.3	22.6	22.3	48	10.8	0	---	0	0	---	22.3	21.8	21.8	20.3	1013.8	0	0	0	0	0	0	0	0	0	0.028	26.6	31	8	25.5	6.15	1.1665	---	---	0	---	---	---	---	225	1	98.7	10
	24/09/2012	2:00a	22.1	22.3	22.1	49	10.9	0	---	0	0	---	22.1	21.5	21.5	20.1	1013.7	0	0	0	0	0	0	0	0	0	0.026	26.4	31	7.9	25.4	6.16	1.1669	---	---	0.05	---	---	---	---	224	1	98.2	10
	24/09/2012	2:10a	22.3	22.3	22.1	49	11.1	0	---	0	0	---	22.3	21.8	21.8	20.4	1013.7	0	0	0	0	0	0	0	0	0	0.028	26.4	31	7.9	25.4	6.16	1.1669	---	---	0	---	---	---	---	223	1	97.8	10
	24/09/2012	2:20a	22.4	22.4	22.3	47	10.5	0	---	0	0	---	22.4	21.8	21.8	20.3	1013.6	0	0	0	0	0	0	0	0	0	0.028	26.4	31	7.9	25.4	6.16	1.1668	---	---	0	---	---	---	---	223	1	97.8	10
	24/09/2012	2:30a	22.2	22.4	22.2	47	10.4	0	---	0	0	---	22.2	21.6	21.6	20.1	1013.5	0	0	0	0	0	0	0	0	0	0.027	26.3	31	7.8	25.3	6.16	1.1672	---	---	0	---	---	---	---	222	1	97.4	10
	24/09/2012	2:40a	22.4	22.4	22.2	47	10.6	0	---	0	0	---	22.4	21.9	21.9	20.4	1013.4	0	0	0	0	0	0	0	0	0	0.029	26.3	31	7.8	25.3	6.16	1.1671	---	---	0	---	---	---	---	227	1	99.6	10
	24/09/2012	2:50a	22.2	22.4	22.2	47	10.4	0	---	0	0	---	22.2	21.6	21.6	20.1	1013.4	0	0	0	0	0	0	0	0	0	0.027	26.3	31	7.8	25.3	6.16	1.1674	---	---	0	---	---	---	---	227	1	99.6	10
	24/09/2012	3:00a	22.3	22.3	22.2	47	10.4	0	---	0	0	---	22.3	21.6	21.6	20.1	1013.4	0	0	0	0	0	0	0	0	0	0.027	26.3	31	7.8	25.3	6.16	1.1673	---	---	0.05	---	---	---	---	230	1	100	10
	24/09/2012	3:10a	22.1	22.3	22	48	10.5	0	---	0	0	---	22.1	21.3	21.3	19.8	1013.3	0	0	0	0	0	0	0	0	0	0.026	26.3	31	7.8	25.3	6.16	1.1672	---	---	0	---	---	---	---	225	1	98.7	10
	24/09/2012	3:20a	21.9	22.1	21.9	48	10.4	0	---	0	0	---	21.9	21.1	21.1	19.6	1013.3	0	0	0	0	0	0	0	0	0	0.025	26.2	31	7.7	25.2	6.17	1.1677	---	---	0	---	---	---	---	225	1	98.7	10
	24/09/2012	3:30a	21.8	21.9	21.8	49	10.6	0	---	0	0	---	21.8	21.1	21.1	19.7	1013.2	0	0	0	0	0	0	0	0	0	0.024	26.2	31	7.7	25.2	6.17	1.1677	---	---	0	---	---	---	---	229	1	100	10
	24/09/2012	3:40a	21.8	21.8	21.8	49	10.6	0	---	0	0	---	21.8	21.1	21.1	19.7	1013.3	0	0	0	0	0	0	0	0	0	0.024	26.1	31	7.6	25.1	6.17	1.1683	---	---	0	---	---	---	---	226	1	99.1	10
	24/09/2012	3:50a	21.8	21.8	21.8	49	10.6	0	---	0	0	---	21.8	21	21	19.6	1013.1	0	0	0	0	0	0	0	0	0	0.024	26.1	31	7.6	25.1	6.17	1.168	---	---	0	---	---	---	---	225	1	98.7	10
	24/09/2012	4:00a	21.8	21.8	21.8	49	10.6	0	---	0	0	---	21.8	21	21	19.6	1013.2	0	0	0	0	0	0	0	0	0	0.024	26.1	31	7.6	25.1	6.17	1.1681	---	---	0.05	---	---	---	---	228	1	100	10
	24/09/2012	4:10a	21.3	21.8	21.3	50	10.5	0	---	0	0	---	21.3	20.4	20.4	18.9	1013.1	0	0	0	0	0	0	0	0	0	0.021	25.9	31	7.5	25.1	6.18	1.1686	---	---	0	---	---	---	---	226	1	99.1	10
	24/09/2012	4:20a	21.1	21.3	21.1	50	10.2	0	---	0	0	---	21.1	20.1	20.1	18.6	1013.2	0	0	0	0	0	0	0	0	0	0.019	25.9	31	7.5	25.1	6.18	1.1686	---	---	0	---	---	---	---	226	1	99.1	10
	24/09/2012	4:30a	20.7	21.1	20.7	52	10.5	0	---	0	0	---	20.7	19.9	19.9	18.4	1013.2	0	0	0	0	0	0	0	0	0	0.016	25.8	31	7.4	24.9	6.18	1.1691	---	---	0	---	---	---	---	227	1	99.6	10
	24/09/2012	4:40a	20.7	20.7	20.6	52	10.5	0	---	0	0	---	20.7	20	20	18.5	1013.2	0	0	0	0	0	0	0	0	0	0.017	25.8	31	7.4	24.9	6.18	1.1692	---	---	0	---	---	---	---	225	1	98.7	10
	24/09/2012	4:50a	20.5	20.7	20.5	52	10.3	0	---	0	0	---	20.5	19.8	19.8	18.3	1013.3	0	0	0	0	0	0	0	0	0	0.015	25.7	31	7.3	24.8	6.18	1.1698	---	---	0	---	---	---	---	228	1	100	10
	24/09/2012	5:00a	20.6	20.7	20.5	52	10.4	0	---	0	0	---	20.6	19.9	19.9	18.4	1013.3	0	0	0	0	0	0	0	0	0	0.016	25.7	31	7.3	24.8	6.18	1.1698	---	---	0.05	---	---	---	---	225	1	98.7	10
	24/09/2012	5:10a	20.5	20.6	20.4	52	10.3	0.4	NNW	0.27	0.9	NNW	20.5	19.8	19.8	18.3	1013.3	0	0	0	0	0	0	0	0	0	0.015	25.6	31	7.2	24.7	6.19	1.1704	---	---	0	---	---	---	---	227	1	99.6	10
	24/09/2012	5:20a	20.6	20.6	20.4	51	10.1	0.4	NNW	0.27	0.9	NNW	20.6	19.8	19.8	18.3	1013.4	0	0	0	0	0	0	0	0	0	0.015	25.4	30	6.6	24.6	6.05	1.1716	---	---	0	---	---	---	---	226	1	99.1	10
	24/09/2012	5:30a	20.6	20.6	20.6	50	9.8	0	NNW	0	0.4	NNW	20.6	19.8	19.8	18.3	1013.5	0	0	0	0	0	0	0	0	0	0.015	24.4	30	5.7	23.6	6.05	1.1763	---	---	0	---	---	---	---	222	1	97.4	10
	24/09/2012	5:40a	20.4	20.6	20.3	51	10	0	NNW	0	0.4	NNW	20.4	19.7	19.7	18.2	1013.7	0	0	0	0	0	0	0	0	0	0.015	23.6	30	5	22.6	6.07	1.1805	---	---	0	---	---	---	---	223	1	97.8	10
